rank,name,position,team,games,minutes,off_rpm,def_rpm,rpm,wins,year
129,Doug McDermott,SF,IND,77,17.4,-0.47,0.85,0.38,1.51,2019
131,Damion Lee,SG,GS,32,11.7,-0.48,0.85,0.37,0.42,2019
133,Thon Maker,F,MIL/DET,64,15.2,-2.19,2.54,0.36,1.02,2019
135,Pat Connaughton,SG,MIL,61,20.7,-0.19,0.51,0.32,1.43,2019
137,Jabari Parker,PF,CHI/WSH,64,26.9,0.10,0.20,0.30,1.93,2019
139,Donte DiVincenzo,SG,MIL,27,15.2,-0.11,0.41,0.30,0.45,2019
141,Patty Mills,PG,SA,82,23.3,1.88,-1.66,0.21,2.00,2019
143,Semi Ojeleye,PF,BOS,56,10.6,-1.35,1.55,0.20,0.59,2019
145,Jared Dudley,SF,BKN,59,20.7,-2.08,2.25,0.17,1.23,2019
147,Rudy Gay,SF,SA,69,26.7,-0.24,0.39,0.16,1.89,2019
149,Paul Millsap,PF,DEN,70,27.1,-0.60,0.73,0.12,1.89,2019
151,Maxi Kleber,PF,DAL,71,21.2,-1.76,1.87,0.10,1.43,2019
153,Kadeem Allen,G,NY,19,21.9,-0.53,0.61,0.08,0.37,2019
155,Bonzie Colson,F,MIL,8,12.3,-0.49,0.55,0.06,0.10,2019
157,Thabo Sefolosha,F,UTAH,50,12.2,-2.01,2.06,0.05,0.55,2019
159,Andre Drummond,C,DET,79,33.5,-0.77,0.81,0.05,2.49,2019
122,Justin Jackson,SF,SAC/DAL,81,19.9,-0.66,1.13,0.47,1.96,2019
124,Seth Curry,SG,POR,74,18.9,-1.22,1.65,0.44,1.54,2019
126,Tobias Harris,PF,LAC/PHI,82,34.7,0.51,-0.09,0.42,3.44,2019
128,Furkan Korkmaz,SG,PHI,48,14.1,1.13,-0.73,0.40,0.77,2019
130,Thaddeus Young,PF,IND,81,30.7,-0.66,1.04,0.37,2.92,2019
132,Mike Muscala,C,PHI/LAL,64,20.4,0.02,0.35,0.36,1.56,2019
134,Derrick Favors,F,UTAH,76,23.2,-0.18,0.50,0.32,2.09,2019
136,Aaron Gordon,PF,ORL,78,33.8,-0.79,1.11,0.32,2.97,2019
138,Joe Harris,SF,BKN,76,30.2,1.39,-1.10,0.30,2.65,2019
140,Dion Waiters,G,MIA,44,25.9,-0.23,0.49,0.26,1.22,2019
142,Christian Wood,F,MIL/NO,21,12.0,0.46,-0.25,0.21,0.27,2019
144,Jerami Grant,SF,OKC,80,32.7,-0.61,0.78,0.17,2.80,2019
146,Derrick White,PG,SA,67,25.8,-0.70,0.86,0.16,1.76,2019
148,LaMarcus Aldridge,C,SA,81,33.2,-0.53,0.65,0.12,2.65,2019
150,DeMarcus Cousins,C,GS,30,25.7,1.23,-1.11,0.12,0.83,2019
152,Ivica Zubac,C,LAL/LAC,59,17.6,-0.55,0.64,0.09,1.10,2019
154,Marco Belinelli,G,SA,79,23.0,0.88,-0.81,0.07,1.73,2019
156,JR Smith,G,CLE,11,20.2,-0.41,0.47,0.06,0.19,2019
158,Dennis Schroder,PG,OKC,79,29.3,0.58,-0.54,0.05,2.17,2019
160,Julius Randle,PF,NO,73,30.6,1.33,-1.30,0.03,2.14,2019
161,Quincy Pondexter,F,SA,53,5.5,-2.85,2.87,0.02,0.24,2019
163,Zhaire Smith,G,PHI,6,18.5,-0.61,0.61,0.00,0.10,2019
165,Dwyane Wade,G,MIA,72,26.2,-0.09,0.08,-0.01,1.61,2019
167,Nemanja Bjelica,PF,SAC,77,23.2,1.46,-1.51,-0.05,1.66,2019
169,Tony Snell,SF,MIL,74,17.6,-0.40,0.30,-0.09,1.10,2019
171,Tyler Dorsey,G,ATL/MEM,48,14.5,0.44,-0.54,-0.10,0.59,2019
173,Terry Rozier,SG,BOS,79,22.7,-1.33,1.21,-0.12,1.43,2019
175,Dwight Howard,C,WSH,9,25.6,-0.92,0.77,-0.14,0.19,2019
177,Cody Zeller,C,CHA,49,25.4,-0.92,0.77,-0.15,1.00,2019
179,Delon Wright,SG,TOR/MEM,75,22.7,-0.52,0.37,-0.15,1.34,2019
181,Thomas Bryant,C,WSH,72,20.8,0.50,-0.71,-0.21,1.14,2019
183,Matthew Dellavedova,PG,MIL/CLE,48,16.9,-0.38,0.15,-0.22,0.56,2019
